text,label
GESTION DE L'ADMINISTRATION PUBLIQUE CENTRALE,O
ADMINISTRATION DE L'EXECUTIF ET DU LEGISLATIF REGIONAL,O
ACTIVITES DES MINISTÈRES NATIONAUX,O
ADMINISTRATION DES AFFAIRES FISCALES LOCALES,O
MISE EN ŒUVRE DES RÉGIMES FISCAUX NATIONALS,O
PERCEPTION DES DROITS ET TAXES REGIONALES,O
ENQUÊTES SUR LES INFRACTIONS FISCALES À L'ÉCHELLE NATIONALE,O
ADMINISTRATION DES DOUANES À L'ÉCHELLE LOCALE,O
EXÉCUTION DU BUDGET ET GESTION DES FONDS PUBLICS REGIONAUX,O
COLLECTE ET PERCEPTION DE FONDS POUR LA RECHERCHE ET DÉVELOPPEMENT,O
GESTION DE LA DETTE PUBLIQUE À L'ÉCHELLE CENTRALE,O
ADMINISTRATION DE LA POLITIQUE GLOBALE DE RECHERCHE ET DÉVELOPPEMENT,O
GESTION DES FONDS ASSOCIÉS À LA RECHERCHE ET DÉVELOPPEMENT,O
ADMINISTRATION DES SERVICES GÉNÉRAUX DE PLANIFICATION ÉCONOMIQUE,O
GESTION DES SERVICES STATISTIQUES AUX DIFFÉRENTS NIVEAUX DE L'ADMINISTRATION,O
ADMINISTRATION DE L'EXECUTIF ET DU LEGISLATIF LOCAL,O
ACTIVITÉS DES MINISTÈRES RÉGIONAUX,O
ADMINISTRATION DES AFFAIRES FISCALES NATIONALES,O
ADMINISTRATION DE LA POLITIQUE GLOBALE DE RECHERCHE ET DÉVELOPPEMENT CIVILE,O
GESTION DES FONDS POUR LA RECHERCHE ET DÉVELOPPEMENT À L'ÉCHELLE NATIONALE,O
ADMINISTRATION PUBLIQUE DES PROGRAMMES DE SANTÉ POUR AMÉLIORER LE BIEN-ÊTRE DES PERSONNES,O
 ADMINISTRATION PUBLIQUE DES PROGRAMMES D'ÉDUCATION POUR AMÉLIORER LE BIEN-ÊTRE DES PERSONNES,O
 ADMINISTRATION PUBLIQUE DES PROGRAMMES CULTURELS POUR AMÉLIORER LE BIEN-ÊTRE DES PERSONNES,O
 ADMINISTRATION PUBLIQUE DES PROGRAMMES DE SPORT POUR AMÉLIORER LE BIEN-ÊTRE DES PERSONNES,O
 ADMINISTRATION PUBLIQUE DES PROGRAMMES DE LOISIRS POUR AMÉLIORER LE BIEN-ÊTRE DES PERSONNES,O
 ADMINISTRATION PUBLIQUE DES PROGRAMMES D'ENVIRONNEMENT POUR AMÉLIORER LE BIEN-ÊTRE DES PERSONNES,O
 ADMINISTRATION PUBLIQUE DES PROGRAMMES DE LOGEMENT POUR AMÉLIORER LE BIEN-ÊTRE DES PERSONNES,O
 ADMINISTRATION PUBLIQUE DES SERVICES SOCIAUX POUR AMÉLIORER LE BIEN-ÊTRE DES PERSONNES,O
 ADMINISTRATION PUBLIQUE DES SERVICES SOCIAUX D'AUTRE NATURE POUR AMÉLIORER LE BIEN-ÊTRE DES PERSONNES,O
 GESTION DES FONDS POUR LA RECHERCHE ET LE DÉVELOPPEMENT DANS LE DOMAINE DE LA SANTÉ,O
 GESTION DES FONDS POUR LA RECHERCHE ET LE DÉVELOPPEMENT DANS LE DOMAINE DE L'ÉDUCATION,O
 GESTION DES FONDS POUR LA RECHERCHE ET LE DÉVELOPPEMENT DANS LE DOMAINE DE LA CULTURE,O
 GESTION DES FONDS POUR LA RECHERCHE ET LE DÉVELOPPEMENT DANS LE DOMAINE DU SPORT,O
 GESTION DES FONDS POUR LA RECHERCHE ET LE DÉVELOPPEMENT DANS LE DOMAINE DES LOISIRS,O
 RÉGLEMENTATION DES POLITIQUES DE SANTÉ PUBLIQUE,O
 RÉGLEMENTATION DES POLITIQUES D'ÉDUCATION POUR TOUTES LES ÂGES,O
 RÉGLEMENTATION DES POLITIQUES CULTURELLES POUR TOUTES LES COMMUNAUTÉS,O
 RÉGLEMENTATION DES POLITIQUES DE SPORT POUR TOUS LES ÂGES ET TOUTES LES CONDITIONS PHYSIQUES,O
 ADMINISTRATION PUBLIQUE D'AUTRES SERVICES SOCIAUX DONT L'OBJECTIF EST D'AMÉLIORER LA QUALITÉ DE VIE DES PERSONNES,O
ADMINISTRATION PUBLIQUE DU SECTEUR AGRICOLE,O
OCTROI DE SUBVENTIONS POUR L'AGRICULTURE,O
TUTELLE DE L'AMÉNAGEMENT DU TERRITOIRE,O
ADMINISTRATION DES RESSOURCES ÉNERGÉTIQUES ET MINIÈRES,O
